hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,squawk,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
06A069,A7-BAE,QA,56.958107,11.210573,10058,131,961,,4510,764,QTR54B,QR764,CYUL,YUL,OTHH,DOH,QTR,QR,B77W,1687168557,en-route
06A071,A7-BAG,QA,34.722244,26.844521,10668,109,985,,0205,756,QTR61F,QR756,KATL,ATL,OTHH,DOH,QTR,QR,B77W,1687168553,en-route
06A072,A7-BAH,QA,34.253906,8.992814,9753,249,870,,2074,773,QTR773,QR773,OTHH,DOH,SBGR,GRU,QTR,QR,B77W,1687168537,en-route
06A077,A7-BAJ,QA,35.097034,20.911674,9753,285,853,,4116,777,QTR42G,QR777,OTHH,DOH,KMIA,MIA,QTR,QR,B77W,1687168556,en-route
06A07E,A7-BBH,QA,26.496696,49.728031,10058,89,857,,5235,1191,QTR1191,QR1191,OEJN,JED,OTHH,DOH,QTR,QR,B77L,1687168556,en-route
06A088,A7-AHB,QA,26.8416,48.962791,10058,101,822,,1644,212,QTR212,QR212,LGAV,ATH,OTHH,DOH,QTR,QR,A320,1687168552,en-route
06A08F,A7-AHF,QA,40.328903,29.486805,3535,324,496,,5147,241,QTR93R,QR241,OTHH,DOH,LTFJ,SAW,QTR,QR,A320,1687168553,en-route
06A095,A7-AHL,QA,42.016373,31.765179,10355,287,485,,6315,221,QTR25W,QR221,OTHH,DOH,LROP,OTP,QTR,QR,A320,1687168556,en-route
06A0A6,A7-BCB,QA,25.269527,51.601765,0,247,12,,0000,,,,,,,,,,B788,1687168548,en-route
06A0B5,A7-BCQ,QA,25.265133,51.618565,0,225,16,,0000,,,,,,,,,,B788,1687168475,en-route
06A0DB,A7-BBI,QA,25.242004,51.611328,228,338,270,,4265,1171,QTR1171,QR1171,OERK,RUH,OTHH,DOH,QTR,QR,B77L,1687168558,en-route
06A0DE,A7-BFE,QA,29.679472,48.145161,9753,330,935,,2132,8201,QTR8201,QR8201,OTHH,DOH,EHAM,AMS,QTR,QR,B77L,1687168557,en-route
06A0DF,A7-BFF,QA,25.783539,51.559753,3505,5,609,,2130,8149,QTR8149,QR8149,OTHH,DOH,KATL,ATL,QTR,QR,B77L,1687168554,en-route
06A123,A7-ANG,QA,57.504135,50.08744,10668,11,881,,2122,739,QTR19L,QR739,OTHH,DOH,KLAX,LAX,QTR,QR,A35K,1687168553,en-route
06A12E,A7-ANR,QA,50.923187,50.93774,10363,2,872,,2124,737,QTR38U,QR737,OTHH,DOH,KSFO,SFO,QTR,QR,A35K,1687168558,en-route
06A139,A7-BAW,QA,37.458332,126.437119,0,323,7,,2000,,,,,,,,,,B77W,1687168552,en-route
06A19E,A7-BEC,QA,25.273838,51.599339,0,151,22,,5250,1179,QTR1179,QR1179,OEMA,MED,OTHH,DOH,QTR,QR,B77W,1687168484,en-route
06A1C4,A7-LAC,QA,25.279404,51.596935,10972,154,5,,7256,449,QTR449,QR449,ORMM,BSR,OTHH,DOH,QTR,QR,A320,1687166904,en-route
06A1E2,A7-LAH,QA,25.280622,51.598614,0,337,7,,5240,1207,QTR1207,QR1207,OETF,TIF,OTHH,DOH,QTR,QR,A320,1687168421,en-route
06A2AF,A7-BEK,QA,36.802757,9.136359,10668,94,961,,3124,726,QTR45K,QR726,KORD,ORD,OTHH,DOH,QTR,QR,B77W,1687168555,en-route
06A2B5,A7-BEQ,QA,36.668839,11.032391,10363,276,848,,2004,149,QTR58T,QR149,OTHH,DOH,LEMD,MAD,QTR,QR,B77W,1687168554,en-route
06A2B7,A7-BES,QA,40.014404,24.135498,9753,320,825,,5453,725,QTR63P,QR725,OTHH,DOH,KORD,ORD,QTR,QR,B77W,1687168551,en-route
06A2C6,A7-BEW,QA,59.389156,62.754761,9753,352,1050,,2151,719,QTR51J,QR719,OTHH,DOH,KSEA,SEA,QTR,QR,B77W,1687168223,en-route
09A050,C5-SUA,IR,26.554138,53.935307,10668,140,859,,5476,7217,TBN7217,,,,,,TBN,HH,A320,1687168551,en-route
0A0079,7T-VKI,DZ,49.006729,2.564531,0,185,18,,1000,1108,DAH1108,AH1108,DAAS,QSF,LFPG,CDG,DAH,AH,B738,1687167657,en-route
0A007A,7T-VKJ,DZ,36.939991,6.619084,10363,275,766,,0064,4001,DAH4001,AH4001,DTTA,TUN,DAAG,ALG,DAH,AH,B738,1687167105,en-route
0A405E,7T-WJA,DZ,35.903091,2.041168,7292,218,394,,4253,,,,,,,,,,C30J,1687168541,en-route
0C211D,HP-3310DAE,PA,-34.543945,-61.059769,10972,282,731,,0344,1558,DAE1558,,,,,,DAE,D5*,B763,1687168557,en-route
0C215F,HP-9914CMP,PA,-23.42617,-46.474491,0,73,0,,0000,743,CMP743,CM743,MPTO,PTY,SBGR,GRU,CMP,CM,B39M,1687166947,landed
0D08D1,XA-DHM,MX,42.205627,-6.88462,10058,309,968,,2626,2,AMX2,AM2,LEMD,MAD,MMMX,MEX,AMX,AM,B789,1687168556,en-route
0D0E11,XA-VSN,MX,19.440145,-99.070503,0,239,18,,1657,5339,VOI5339,Y45339,MMSD,SJD,MMMX,MEX,VOI,Y4,A20N,1687168553,en-route
14F115,,RU,36.908913,30.796227,0,22,11,,5026,9608,SUM9608,,,,,,SUM,,,1687168169,en-route
14FA38,RA-64056,RU,56.411537,35.6357,10965,324,755,,1056,,,,,,,,,,T204,1687168552,en-route
1506A8,RA-67240,RU,56.815018,20.452251,10363,177,731,,3706,141,SSF141,D2141,ULBC,CEE,UMKK,KGD,SSF,D2,CRJ2,1687168555,en-route
151D43,RA-73027,RU,64.106384,55.617516,9753,236,833,,5155,9052,NWC9052,,,,,,NWC,,A21N,1687168549,en-route
151D66,RA-73062,RU,50.047668,43.798878,10683,351,724,,4102,764,UTA764,UT764,UBBN,NAJ,UUWW,VKO,UTA,UT,B735,1687167839,en-route
151D69,RA-73065,RU,54.930431,55.489197,5250,202,627,,5140,186,UTA186,UT186,USMU,NUX,UWUU,UFA,UTA,UT,B734,1687168554,en-route
151D6D,RA-73069,RU,43.456421,47.445099,9753,272,709,,2134,373,UTA373,UT373,UUWW,VKO,URMM,MRV,UTA,UT,B734,1687168507,en-route
